CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O ritonavir
CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)OC(C)(C)C.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)OC(C)(C)C 161840581
C.C.CCCCC(C)[C@H](C1C(=O)N[C@@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)CC)OC(=O)COCCOC.CCCCC(C)[C@H](C1C(=O)N[C@@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)CC)OC(=O)COCCOCCOC.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)OC(=O)COCCOCCOC 161711717
CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O.CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N.CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O 161416497
CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O.CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N.CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CS(=O)C4=CC=C(C=C4)F)NS(=O)(=O)C)O.CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5 161339200
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O.CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC.C1CC2=C3C(=CC=C2)C(=CN3C1)[C@H]4[C@@H](C(=O)CC4=O)C5=CNC6=CC=CC=C65.C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl 161237856
CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O.CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC.C1CC2=C3C(=CC=C2)C(=CN3C1)[C@H]4[C@@H](C(=O)CC4=O)C5=CNC6=CC=CC=C65.C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl 161017603
CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.II 160390382
CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)OC(=O)OCCSSCCOC(=O)O[C@@H](C[C@H](CC5=CC=CC=C5)NC(=O)C(C(C)C)NC(=O)N(C)CC6=CSC(=N6)C(C)C)[C@H](CC7=CC=CC=C7)NC(=O)OCC8=CN=CS8.CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)COC(=O)OCCSSCCOC(=O)OC3=CC=CC(=C3C)C(=O)N[C@@H](CSC4=CC=CC=C4)[C@@H](CN5C[C@H]6CCCC[C@H]6C[C@H]5C(=O)OC(C)(C)C)O)N=[N+]=[N-].CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)COC(=O)OCCSSCCOC(=O)O[C@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)OC(C)(C)C)[C@H](CC5=CC=CC=C5)NC(=O)C(CC(=O)N)NC(=O)C6=NC7=CC=CC=C7C=C6)N=[N+]=[N-] 160381024
CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)OC(=O)OCCSSCCOC(=O)O[C@@H](C[C@H](CC5=CC=CC=C5)NC(=O)C(C(C)C)NC(=O)N(C)CC6=CSC(=N6)C(C)C)[C@H](CC7=CC=CC=C7)NC(=O)OCC8=CN=CS8.CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)COC(=O)OCCSSCCOC(=O)OC3=CC=CC(=C3C)C(=O)N[C@@H](CSC4=CC=CC=C4)[C@@H](CN5C[C@H]6CCCC[C@H]6C[C@H]5C(=O)OC(C)(C)C)O)N=[N+]=[N-].CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)COC(=O)OCCSSCCOC(=O)O[C@H](CN3CCN(C[C@H]3C(=O)NC(C)(C)C)CC4=CN=CC=C4)CN(CC5=CC=CC=C5)C(=O)N[C@@H]6[C@@H](CC7=CC=CC=C67)O)N=[N+]=[N-].CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)COC(=O)OCCSSCCOC(=O)O[C@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)OC(C)(C)C)[C@H](CC5=CC=CC=C5)NC(=O)C(CC(=O)N)NC(=O)C6=NC7=CC=CC=C7C=C6)N=[N+]=[N-].CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)COC(=O)OCCSSCCOC(=O)O[C@H](CN(CC(C)C)S(=O)(=O)C3=CC=C(C=C3)N)[C@H](CC4=CC=CC=C4)NC(=O)O[C@H]5CCOC5)N=[N+]=[N-] 159893617
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC3=CN=CS3)CC4=CC=CC=C4.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)OC(=S)N5C=CN=C5.C1=CN(C=N1)C(=S)N2C=CN=C2 159568257
